userId	geneSymbol	geneName	entrezgene	gLink
SLC24A4	SLC24A4	solute carrier family 24 member 4	123041	https://www.ncbi.nlm.nih.gov/gene/?term=123041
RPS21	RPS21	ribosomal protein S21	6227	https://www.ncbi.nlm.nih.gov/gene/?term=6227
MYO1F	MYO1F	myosin IF	4542	https://www.ncbi.nlm.nih.gov/gene/?term=4542
PLEKHG2	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2	64857	https://www.ncbi.nlm.nih.gov/gene/?term=64857
PDE4A	PDE4A	phosphodiesterase 4A	5141	https://www.ncbi.nlm.nih.gov/gene/?term=5141
SRRM2	SRRM2	serine/arginine repetitive matrix 2	23524	https://www.ncbi.nlm.nih.gov/gene/?term=23524
SOD2	SOD2	superoxide dismutase 2	6648	https://www.ncbi.nlm.nih.gov/gene/?term=6648
COX4I1	COX4I1	cytochrome c oxidase subunit 4I1	1327	https://www.ncbi.nlm.nih.gov/gene/?term=1327
MTMR3	MTMR3	myotubularin related protein 3	8897	https://www.ncbi.nlm.nih.gov/gene/?term=8897
CRIP1	CRIP1	cysteine rich protein 1	1396	https://www.ncbi.nlm.nih.gov/gene/?term=1396
PADI4	PADI4	peptidyl arginine deiminase 4	23569	https://www.ncbi.nlm.nih.gov/gene/?term=23569
PLXNB2	PLXNB2	plexin B2	23654	https://www.ncbi.nlm.nih.gov/gene/?term=23654
ANKRD13D	ANKRD13D	ankyrin repeat domain 13D	338692	https://www.ncbi.nlm.nih.gov/gene/?term=338692
POLR2L	POLR2L	RNA polymerase II, I and III subunit L	5441	https://www.ncbi.nlm.nih.gov/gene/?term=5441
TSPO	TSPO	translocator protein	706	https://www.ncbi.nlm.nih.gov/gene/?term=706
PIM3	PIM3	Pim-3 proto-oncogene, serine/threonine kinase	415116	https://www.ncbi.nlm.nih.gov/gene/?term=415116
JMJD6	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase	23210	https://www.ncbi.nlm.nih.gov/gene/?term=23210
TKT	TKT	transketolase	7086	https://www.ncbi.nlm.nih.gov/gene/?term=7086
GRINA	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1	2907	https://www.ncbi.nlm.nih.gov/gene/?term=2907
ZNF335	ZNF335	zinc finger protein 335	63925	https://www.ncbi.nlm.nih.gov/gene/?term=63925
MIDN	MIDN	midnolin	90007	https://www.ncbi.nlm.nih.gov/gene/?term=90007
CDK5RAP3	CDK5RAP3	CDK5 regulatory subunit associated protein 3	80279	https://www.ncbi.nlm.nih.gov/gene/?term=80279
SAT1	SAT1	spermidine/spermine N1-acetyltransferase 1	6303	https://www.ncbi.nlm.nih.gov/gene/?term=6303
APLP2	APLP2	amyloid beta precursor like protein 2	334	https://www.ncbi.nlm.nih.gov/gene/?term=334
SERF2	SERF2	small EDRK-rich factor 2	10169	https://www.ncbi.nlm.nih.gov/gene/?term=10169
VCAN	VCAN	versican	1462	https://www.ncbi.nlm.nih.gov/gene/?term=1462
STAT3	STAT3	signal transducer and activator of transcription 3	6774	https://www.ncbi.nlm.nih.gov/gene/?term=6774
DENND3	DENND3	DENN domain containing 3	22898	https://www.ncbi.nlm.nih.gov/gene/?term=22898
ABCC5	ABCC5	ATP binding cassette subfamily C member 5	10057	https://www.ncbi.nlm.nih.gov/gene/?term=10057
GNAI2	GNAI2	G protein subunit alpha i2	2771	https://www.ncbi.nlm.nih.gov/gene/?term=2771
ITGA5	ITGA5	integrin subunit alpha 5	3678	https://www.ncbi.nlm.nih.gov/gene/?term=3678
SHROOM1	SHROOM1	shroom family member 1	134549	https://www.ncbi.nlm.nih.gov/gene/?term=134549
SETX	SETX	senataxin	23064	https://www.ncbi.nlm.nih.gov/gene/?term=23064
ATF4	ATF4	activating transcription factor 4	468	https://www.ncbi.nlm.nih.gov/gene/?term=468
KIAA0513	KIAA0513	KIAA0513	9764	https://www.ncbi.nlm.nih.gov/gene/?term=9764
NLRP12	NLRP12	NLR family pyrin domain containing 12	91662	https://www.ncbi.nlm.nih.gov/gene/?term=91662
MRPL41	MRPL41	mitochondrial ribosomal protein L41	64975	https://www.ncbi.nlm.nih.gov/gene/?term=64975
CRISPLD2	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2	83716	https://www.ncbi.nlm.nih.gov/gene/?term=83716
EFCAB2	EFCAB2	EF-hand calcium binding domain 2	84288	https://www.ncbi.nlm.nih.gov/gene/?term=84288
MIER2	MIER2	MIER family member 2	54531	https://www.ncbi.nlm.nih.gov/gene/?term=54531
HCST	HCST	hematopoietic cell signal transducer	10870	https://www.ncbi.nlm.nih.gov/gene/?term=10870
CD14	CD14	CD14 molecule	929	https://www.ncbi.nlm.nih.gov/gene/?term=929
ULK1	ULK1	unc-51 like autophagy activating kinase 1	8408	https://www.ncbi.nlm.nih.gov/gene/?term=8408
CD300E	CD300E	CD300e molecule	342510	https://www.ncbi.nlm.nih.gov/gene/?term=342510
ZDHHC8	ZDHHC8	zinc finger DHHC-type palmitoyltransferase 8	29801	https://www.ncbi.nlm.nih.gov/gene/?term=29801
RPS24	RPS24	ribosomal protein S24	6229	https://www.ncbi.nlm.nih.gov/gene/?term=6229
PLEC	PLEC	plectin	5339	https://www.ncbi.nlm.nih.gov/gene/?term=5339
PARP14	PARP14	poly(ADP-ribose) polymerase family member 14	54625	https://www.ncbi.nlm.nih.gov/gene/?term=54625
TAGLN	TAGLN	transgelin	6876	https://www.ncbi.nlm.nih.gov/gene/?term=6876
TLN1	TLN1	talin 1	7094	https://www.ncbi.nlm.nih.gov/gene/?term=7094
PGPEP1	PGPEP1	pyroglutamyl-peptidase I	54858	https://www.ncbi.nlm.nih.gov/gene/?term=54858
UPP1	UPP1	uridine phosphorylase 1	7378	https://www.ncbi.nlm.nih.gov/gene/?term=7378
DDIT3	DDIT3	DNA damage inducible transcript 3	1649	https://www.ncbi.nlm.nih.gov/gene/?term=1649
ARHGAP4	ARHGAP4	Rho GTPase activating protein 4	393	https://www.ncbi.nlm.nih.gov/gene/?term=393
UNC13D	UNC13D	unc-13 homolog D	201294	https://www.ncbi.nlm.nih.gov/gene/?term=201294
PRAM1	PRAM1	PML-RARA regulated adaptor molecule 1	84106	https://www.ncbi.nlm.nih.gov/gene/?term=84106
ZFAS1	ZFAS1	ZNFX1 antisense RNA 1	441951	https://www.ncbi.nlm.nih.gov/gene/?term=441951
KIF1C	KIF1C	kinesin family member 1C	10749	https://www.ncbi.nlm.nih.gov/gene/?term=10749
LINC00937	LINC00937	long intergenic non-protein coding RNA 937	389634	https://www.ncbi.nlm.nih.gov/gene/?term=389634
VAMP5	VAMP5	vesicle associated membrane protein 5	10791	https://www.ncbi.nlm.nih.gov/gene/?term=10791
CDK16	CDK16	cyclin dependent kinase 16	5127	https://www.ncbi.nlm.nih.gov/gene/?term=5127
RAPGEF1	RAPGEF1	Rap guanine nucleotide exchange factor 1	2889	https://www.ncbi.nlm.nih.gov/gene/?term=2889
NFKB2	NFKB2	nuclear factor kappa B subunit 2	4791	https://www.ncbi.nlm.nih.gov/gene/?term=4791
RPLP2	RPLP2	ribosomal protein lateral stalk subunit P2	6181	https://www.ncbi.nlm.nih.gov/gene/?term=6181
CKAP4	CKAP4	cytoskeleton associated protein 4	10970	https://www.ncbi.nlm.nih.gov/gene/?term=10970
LMO2	LMO2	LIM domain only 2	4005	https://www.ncbi.nlm.nih.gov/gene/?term=4005
FLNA	FLNA	filamin A	2316	https://www.ncbi.nlm.nih.gov/gene/?term=2316
AGTRAP	AGTRAP	angiotensin II receptor associated protein	57085	https://www.ncbi.nlm.nih.gov/gene/?term=57085
PRKACA	PRKACA	protein kinase cAMP-activated catalytic subunit alpha	5566	https://www.ncbi.nlm.nih.gov/gene/?term=5566
TCHP	TCHP	trichoplein keratin filament binding	84260	https://www.ncbi.nlm.nih.gov/gene/?term=84260
ACAP3	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	116983	https://www.ncbi.nlm.nih.gov/gene/?term=116983
ATP6V0A1	ATP6V0A1	ATPase H+ transporting V0 subunit a1	535	https://www.ncbi.nlm.nih.gov/gene/?term=535
SMAD4	SMAD4	SMAD family member 4	4089	https://www.ncbi.nlm.nih.gov/gene/?term=4089
CARS2	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial	79587	https://www.ncbi.nlm.nih.gov/gene/?term=79587
LST1	LST1	leukocyte specific transcript 1	7940	https://www.ncbi.nlm.nih.gov/gene/?term=7940
FOSL2	FOSL2	FOS like 2, AP-1 transcription factor subunit	2355	https://www.ncbi.nlm.nih.gov/gene/?term=2355
SCO2	SCO2	synthesis of cytochrome C oxidase 2	9997	https://www.ncbi.nlm.nih.gov/gene/?term=9997
DIAPH1	DIAPH1	diaphanous related formin 1	1729	https://www.ncbi.nlm.nih.gov/gene/?term=1729
IFFO1	IFFO1	intermediate filament family orphan 1	25900	https://www.ncbi.nlm.nih.gov/gene/?term=25900
PI4K2A	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha	55361	https://www.ncbi.nlm.nih.gov/gene/?term=55361
LAMTOR4	LAMTOR4	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4	389541	https://www.ncbi.nlm.nih.gov/gene/?term=389541
PCSK7	PCSK7	proprotein convertase subtilisin/kexin type 7	9159	https://www.ncbi.nlm.nih.gov/gene/?term=9159
RPS29	RPS29	ribosomal protein S29	6235	https://www.ncbi.nlm.nih.gov/gene/?term=6235
EMILIN2	EMILIN2	elastin microfibril interfacer 2	84034	https://www.ncbi.nlm.nih.gov/gene/?term=84034
GLIPR2	GLIPR2	GLI pathogenesis related 2	152007	https://www.ncbi.nlm.nih.gov/gene/?term=152007
TNRC18	TNRC18	trinucleotide repeat containing 18	84629	https://www.ncbi.nlm.nih.gov/gene/?term=84629
NDST2	NDST2	N-deacetylase and N-sulfotransferase 2	8509	https://www.ncbi.nlm.nih.gov/gene/?term=8509
RPL39	RPL39	ribosomal protein L39	6170	https://www.ncbi.nlm.nih.gov/gene/?term=6170
COX7B	COX7B	cytochrome c oxidase subunit 7B	1349	https://www.ncbi.nlm.nih.gov/gene/?term=1349
MED15	MED15	mediator complex subunit 15	51586	https://www.ncbi.nlm.nih.gov/gene/?term=51586
DGKZ	DGKZ	diacylglycerol kinase zeta	8525	https://www.ncbi.nlm.nih.gov/gene/?term=8525
RPL36	RPL36	ribosomal protein L36	25873	https://www.ncbi.nlm.nih.gov/gene/?term=25873
SULT1A1	SULT1A1	sulfotransferase family 1A member 1	6817	https://www.ncbi.nlm.nih.gov/gene/?term=6817
CTDSP1	CTDSP1	CTD small phosphatase 1	58190	https://www.ncbi.nlm.nih.gov/gene/?term=58190
PCM1	PCM1	pericentriolar material 1	5108	https://www.ncbi.nlm.nih.gov/gene/?term=5108
UQCRQ	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII	27089	https://www.ncbi.nlm.nih.gov/gene/?term=27089
EXTL3	EXTL3	exostosin like glycosyltransferase 3	2137	https://www.ncbi.nlm.nih.gov/gene/?term=2137
COX14	COX14	cytochrome c oxidase assembly factor COX14	84987	https://www.ncbi.nlm.nih.gov/gene/?term=84987
RPL35A	RPL35A	ribosomal protein L35a	6165	https://www.ncbi.nlm.nih.gov/gene/?term=6165
RPS28	RPS28	ribosomal protein S28	6234	https://www.ncbi.nlm.nih.gov/gene/?term=6234
RHBDF2	RHBDF2	rhomboid 5 homolog 2	79651	https://www.ncbi.nlm.nih.gov/gene/?term=79651
RPL36A	RPL36A	ribosomal protein L36a	6173	https://www.ncbi.nlm.nih.gov/gene/?term=6173
PSAP	PSAP	prosaposin	5660	https://www.ncbi.nlm.nih.gov/gene/?term=5660
SLC22A15	SLC22A15	solute carrier family 22 member 15	55356	https://www.ncbi.nlm.nih.gov/gene/?term=55356
HRH2	HRH2	histamine receptor H2	3274	https://www.ncbi.nlm.nih.gov/gene/?term=3274
PPIF	PPIF	peptidylprolyl isomerase F	10105	https://www.ncbi.nlm.nih.gov/gene/?term=10105
NPLOC4	NPLOC4	NPL4 homolog, ubiquitin recognition factor	55666	https://www.ncbi.nlm.nih.gov/gene/?term=55666
VEGFA	VEGFA	vascular endothelial growth factor A	7422	https://www.ncbi.nlm.nih.gov/gene/?term=7422
NOTCH1	NOTCH1	notch receptor 1	4851	https://www.ncbi.nlm.nih.gov/gene/?term=4851
PSRC1	PSRC1	proline and serine rich coiled-coil 1	84722	https://www.ncbi.nlm.nih.gov/gene/?term=84722
FAM151B	FAM151B	family with sequence similarity 151 member B	167555	https://www.ncbi.nlm.nih.gov/gene/?term=167555
CD44	CD44	CD44 molecule (Indian blood group)	960	https://www.ncbi.nlm.nih.gov/gene/?term=960
CPEB2	CPEB2	cytoplasmic polyadenylation element binding protein 2	132864	https://www.ncbi.nlm.nih.gov/gene/?term=132864
KHSRP	KHSRP	KH-type splicing regulatory protein	8570	https://www.ncbi.nlm.nih.gov/gene/?term=8570
AAK1	AAK1	AP2 associated kinase 1	22848	https://www.ncbi.nlm.nih.gov/gene/?term=22848
C8orf76	C8orf76	chromosome 8 open reading frame 76	84933	https://www.ncbi.nlm.nih.gov/gene/?term=84933
LINC00309	LINC00309	long intergenic non-protein coding RNA 309	150992	https://www.ncbi.nlm.nih.gov/gene/?term=150992
MADD	MADD	MAP kinase activating death domain	8567	https://www.ncbi.nlm.nih.gov/gene/?term=8567
SLC2A6	SLC2A6	solute carrier family 2 member 6	11182	https://www.ncbi.nlm.nih.gov/gene/?term=11182
WDR6	WDR6	WD repeat domain 6	11180	https://www.ncbi.nlm.nih.gov/gene/?term=11180
DDT	DDT	D-dopachrome tautomerase	1652	https://www.ncbi.nlm.nih.gov/gene/?term=1652
FPR1	FPR1	formyl peptide receptor 1	2357	https://www.ncbi.nlm.nih.gov/gene/?term=2357
NCF1	NCF1	neutrophil cytosolic factor 1	653361	https://www.ncbi.nlm.nih.gov/gene/?term=653361
FBXW7	FBXW7	F-box and WD repeat domain containing 7	55294	https://www.ncbi.nlm.nih.gov/gene/?term=55294
SCAND1	SCAND1	SCAN domain containing 1	51282	https://www.ncbi.nlm.nih.gov/gene/?term=51282
LPAR2	LPAR2	lysophosphatidic acid receptor 2	9170	https://www.ncbi.nlm.nih.gov/gene/?term=9170
ARHGEF10L	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	55160	https://www.ncbi.nlm.nih.gov/gene/?term=55160
S100P	S100P	S100 calcium binding protein P	6286	https://www.ncbi.nlm.nih.gov/gene/?term=6286
ENGASE	ENGASE	endo-beta-N-acetylglucosaminidase	64772	https://www.ncbi.nlm.nih.gov/gene/?term=64772
SLC39A10	SLC39A10	solute carrier family 39 member 10	57181	https://www.ncbi.nlm.nih.gov/gene/?term=57181
NUMB	NUMB	NUMB endocytic adaptor protein	8650	https://www.ncbi.nlm.nih.gov/gene/?term=8650
RBM5	RBM5	RNA binding motif protein 5	10181	https://www.ncbi.nlm.nih.gov/gene/?term=10181
HDAC7	HDAC7	histone deacetylase 7	51564	https://www.ncbi.nlm.nih.gov/gene/?term=51564
APOBR	APOBR	apolipoprotein B receptor	55911	https://www.ncbi.nlm.nih.gov/gene/?term=55911
IRF1	IRF1	interferon regulatory factor 1	3659	https://www.ncbi.nlm.nih.gov/gene/?term=3659
RPL31	RPL31	ribosomal protein L31	6160	https://www.ncbi.nlm.nih.gov/gene/?term=6160
PLCB2	PLCB2	phospholipase C beta 2	5330	https://www.ncbi.nlm.nih.gov/gene/?term=5330
TIPARP-AS1	TIPARP-AS1	TIPARP antisense RNA 1	100287227	https://www.ncbi.nlm.nih.gov/gene/?term=100287227
HK3	HK3	hexokinase 3	3101	https://www.ncbi.nlm.nih.gov/gene/?term=3101
B4GALT1	B4GALT1	beta-1,4-galactosyltransferase 1	2683	https://www.ncbi.nlm.nih.gov/gene/?term=2683
CLEC4E	CLEC4E	C-type lectin domain family 4 member E	26253	https://www.ncbi.nlm.nih.gov/gene/?term=26253
TRA2B	TRA2B	transformer 2 beta homolog	6434	https://www.ncbi.nlm.nih.gov/gene/?term=6434
PRKRIP1	PRKRIP1	PRKR interacting protein 1	79706	https://www.ncbi.nlm.nih.gov/gene/?term=79706
CDC42EP3	CDC42EP3	CDC42 effector protein 3	10602	https://www.ncbi.nlm.nih.gov/gene/?term=10602
CCNY	CCNY	cyclin Y	219771	https://www.ncbi.nlm.nih.gov/gene/?term=219771
IRS2	IRS2	insulin receptor substrate 2	8660	https://www.ncbi.nlm.nih.gov/gene/?term=8660
RAB11FIP1	RAB11FIP1	RAB11 family interacting protein 1	80223	https://www.ncbi.nlm.nih.gov/gene/?term=80223
CATSPER1	CATSPER1	cation channel sperm associated 1	117144	https://www.ncbi.nlm.nih.gov/gene/?term=117144
PRR7	PRR7	proline rich 7, synaptic	80758	https://www.ncbi.nlm.nih.gov/gene/?term=80758
COLGALT1	COLGALT1	collagen beta(1-O)galactosyltransferase 1	79709	https://www.ncbi.nlm.nih.gov/gene/?term=79709
PXN	PXN	paxillin	5829	https://www.ncbi.nlm.nih.gov/gene/?term=5829
NDUFA11	NDUFA11	NADH:ubiquinone oxidoreductase subunit A11	126328	https://www.ncbi.nlm.nih.gov/gene/?term=126328
INPP5B	INPP5B	inositol polyphosphate-5-phosphatase B	3633	https://www.ncbi.nlm.nih.gov/gene/?term=3633
LGALS12	LGALS12	galectin 12	85329	https://www.ncbi.nlm.nih.gov/gene/?term=85329
PCNT	PCNT	pericentrin	5116	https://www.ncbi.nlm.nih.gov/gene/?term=5116
D2HGDH	D2HGDH	D-2-hydroxyglutarate dehydrogenase	728294	https://www.ncbi.nlm.nih.gov/gene/?term=728294
AHNAK	AHNAK	AHNAK nucleoprotein	79026	https://www.ncbi.nlm.nih.gov/gene/?term=79026
SYMPK	SYMPK	symplekin scaffold protein	8189	https://www.ncbi.nlm.nih.gov/gene/?term=8189
CDK11B	CDK11B	cyclin dependent kinase 11B	984	https://www.ncbi.nlm.nih.gov/gene/?term=984
ATF3	ATF3	activating transcription factor 3	467	https://www.ncbi.nlm.nih.gov/gene/?term=467
