userId	geneSymbol	geneName	entrezgene	gLink
LYRM4	LYRM4	LYR motif containing 4	57128	https://www.ncbi.nlm.nih.gov/gene/?term=57128
RBMX	RBMX	RNA binding motif protein X-linked	27316	https://www.ncbi.nlm.nih.gov/gene/?term=27316
MYL12A	MYL12A	myosin light chain 12A	10627	https://www.ncbi.nlm.nih.gov/gene/?term=10627
ANXA5	ANXA5	annexin A5	308	https://www.ncbi.nlm.nih.gov/gene/?term=308
DHRS7	DHRS7	dehydrogenase/reductase 7	51635	https://www.ncbi.nlm.nih.gov/gene/?term=51635
SAMM50	SAMM50	SAMM50 sorting and assembly machinery component	25813	https://www.ncbi.nlm.nih.gov/gene/?term=25813
PARP1	PARP1	poly(ADP-ribose) polymerase 1	142	https://www.ncbi.nlm.nih.gov/gene/?term=142
LAP3	LAP3	leucine aminopeptidase 3	51056	https://www.ncbi.nlm.nih.gov/gene/?term=51056
SNRPA	SNRPA	small nuclear ribonucleoprotein polypeptide A	6626	https://www.ncbi.nlm.nih.gov/gene/?term=6626
KDELR2	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2	11014	https://www.ncbi.nlm.nih.gov/gene/?term=11014
SRP9	SRP9	signal recognition particle 9	6726	https://www.ncbi.nlm.nih.gov/gene/?term=6726
UQCRC2	UQCRC2	ubiquinol-cytochrome c reductase core protein 2	7385	https://www.ncbi.nlm.nih.gov/gene/?term=7385
PSMD3	PSMD3	proteasome 26S subunit, non-ATPase 3	5709	https://www.ncbi.nlm.nih.gov/gene/?term=5709
FNBP1	FNBP1	formin binding protein 1	23048	https://www.ncbi.nlm.nih.gov/gene/?term=23048
HDAC2	HDAC2	histone deacetylase 2	3066	https://www.ncbi.nlm.nih.gov/gene/?term=3066
RUVBL1	RUVBL1	RuvB like AAA ATPase 1	8607	https://www.ncbi.nlm.nih.gov/gene/?term=8607
EIF2A	EIF2A	eukaryotic translation initiation factor 2A	83939	https://www.ncbi.nlm.nih.gov/gene/?term=83939
DERL1	DERL1	derlin 1	79139	https://www.ncbi.nlm.nih.gov/gene/?term=79139
CAP1	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	10487	https://www.ncbi.nlm.nih.gov/gene/?term=10487
HNRNPA2B1	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	3181	https://www.ncbi.nlm.nih.gov/gene/?term=3181
CALR	CALR	calreticulin	811	https://www.ncbi.nlm.nih.gov/gene/?term=811
M6PR	M6PR	mannose-6-phosphate receptor, cation dependent	4074	https://www.ncbi.nlm.nih.gov/gene/?term=4074
MYC	MYC	MYC proto-oncogene, bHLH transcription factor	4609	https://www.ncbi.nlm.nih.gov/gene/?term=4609
ATXN10	ATXN10	ataxin 10	25814	https://www.ncbi.nlm.nih.gov/gene/?term=25814
RTN4	RTN4	reticulon 4	57142	https://www.ncbi.nlm.nih.gov/gene/?term=57142
CLNK	CLNK	cytokine dependent hematopoietic cell linker	116449	https://www.ncbi.nlm.nih.gov/gene/?term=116449
FUCA1	FUCA1	alpha-L-fucosidase 1	2517	https://www.ncbi.nlm.nih.gov/gene/?term=2517
HSPD1	HSPD1	heat shock protein family D (Hsp60) member 1	3329	https://www.ncbi.nlm.nih.gov/gene/?term=3329
ICAM3	ICAM3	intercellular adhesion molecule 3	3385	https://www.ncbi.nlm.nih.gov/gene/?term=3385
PPIL1	PPIL1	peptidylprolyl isomerase like 1	51645	https://www.ncbi.nlm.nih.gov/gene/?term=51645
COPS5	COPS5	COP9 signalosome subunit 5	10987	https://www.ncbi.nlm.nih.gov/gene/?term=10987
PPP6C	PPP6C	protein phosphatase 6 catalytic subunit	5537	https://www.ncbi.nlm.nih.gov/gene/?term=5537
CCNDBP1	CCNDBP1	cyclin D1 binding protein 1	23582	https://www.ncbi.nlm.nih.gov/gene/?term=23582
TPM3	TPM3	tropomyosin 3	7170	https://www.ncbi.nlm.nih.gov/gene/?term=7170
UCHL3	UCHL3	ubiquitin C-terminal hydrolase L3	7347	https://www.ncbi.nlm.nih.gov/gene/?term=7347
NDUFS4	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4	4724	https://www.ncbi.nlm.nih.gov/gene/?term=4724
OXA1L	OXA1L	OXA1L mitochondrial inner membrane protein	5018	https://www.ncbi.nlm.nih.gov/gene/?term=5018
PSMC2	PSMC2	proteasome 26S subunit, ATPase 2	5701	https://www.ncbi.nlm.nih.gov/gene/?term=5701
STRADB	STRADB	STE20 related adaptor beta	55437	https://www.ncbi.nlm.nih.gov/gene/?term=55437
OAT	OAT	ornithine aminotransferase	4942	https://www.ncbi.nlm.nih.gov/gene/?term=4942
ELOVL5	ELOVL5	ELOVL fatty acid elongase 5	60481	https://www.ncbi.nlm.nih.gov/gene/?term=60481
DEGS1	DEGS1	delta 4-desaturase, sphingolipid 1	8560	https://www.ncbi.nlm.nih.gov/gene/?term=8560
NUDCD2	NUDCD2	NudC domain containing 2	134492	https://www.ncbi.nlm.nih.gov/gene/?term=134492
UBE2A	UBE2A	ubiquitin conjugating enzyme E2 A	7319	https://www.ncbi.nlm.nih.gov/gene/?term=7319
