geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-5627117	RHO GTPases Activate ROCKs	http://reactome.org/PathwayBrowser/#/R-HSA-5627117	14	5	0.3912009512485137	12.781155015197568	2.5932858997568092e-5	0.003755549489375088	103910;10627;1072;387;389	RHOA;RHOC;MYL12B;MYL12A;CFL1
R-HSA-202403	TCR signaling	http://reactome.org/PathwayBrowser/#/R-HSA-202403	94	11	2.6266349583828776	4.187867813490267	5.198539848052932e-5	0.0066010244857987455	3113;3115;3117;3118;3119;3122;3127;5685;5698;5721;7322	HLA-DQA1;HLA-DQA2;HLA-DPA1;HLA-DQB1;HLA-DPB1;HLA-DRA;HLA-DRB5;PSMB9;PSMA4;UBE2D2;PSME2
R-HSA-1280218	Adaptive Immune System	http://reactome.org/PathwayBrowser/#/R-HSA-1280218	486	29	13.58026159334126	2.135452237107083	5.386900082572737e-5	0.0066010244857987455	10376;10871;11006;2213;2280;2923;29992;3109;3113;3115;3117;3118;3119;3122;3127;3146;55819;5685;5698;5721;64718;7322;7879;805;832;8905;911;912;9246	HLA-DQA1;HLA-DQA2;HLA-DPA1;HLA-DQB1;FKBP1A;HLA-DMB;HLA-DPB1;RNF130;CALM2;HLA-DRA;CD1C;LILRB4;TUBA1B;HMGB1;RAB7A;FCGR2B;HLA-DRB5;CD1D;UBE2L6;PILRA;AP1S2;UNKL;PSMB9;PSMA4;CD300C;UBE2D2;PSME2;CAPZB;PDIA3
R-HSA-3928662	EPHB-mediated forward signaling	http://reactome.org/PathwayBrowser/#/R-HSA-3928662	27	6	0.7544589774078478	7.952718676122931	7.803602862801666e-5	0.008879385257459325	10094;10095;10109;1072;387;71	RHOA;ACTG1;ARPC2;ARPC1B;CFL1;ARPC3
R-HSA-2682334	EPH-Ephrin signaling	http://reactome.org/PathwayBrowser/#/R-HSA-2682334	54	8	1.5089179548156957	5.301812450748621	1.0694682777677047e-4	0.011357753109893025	10094;10095;10109;103910;10627;1072;387;71	RHOA;ACTG1;ARPC2;MYL12B;MYL12A;ARPC1B;CFL1;ARPC3
R-HSA-195258	RHO GTPase Effectors	http://reactome.org/PathwayBrowser/#/R-HSA-195258	162	14	4.526753864447087	3.092723929603362	1.4750724420609573e-4	0.014686190001269406	10094;10095;10109;10376;103910;10627;1072;387;389;55845;5880;71;7533;805	RHOA;CALM2;ACTG1;ARPC2;TUBA1B;RHOC;BRK1;YWHAH;RAC2;MYL12B;MYL12A;ARPC1B;CFL1;ARPC3
R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	http://reactome.org/PathwayBrowser/#/R-HSA-156827	106	11	2.961950059453032	3.713769570453633	1.5710438524553006e-4	0.014721605040948786	1973;26986;3921;6124;6125;6138;6159;6193;8665;8667;8668	RPL5;RPL4;EIF3H;EIF3F;RPSA;RPS5;RPL29;RPL15;EIF3I;EIF4A1;PABPC1
R-HSA-5625900	RHO GTPases activate CIT	http://reactome.org/PathwayBrowser/#/R-HSA-5625900	12	4	0.33531510107015455	11.929078014184398	2.4289907982815467e-4	0.020365170219276335	103910;10627;387;389	RHOA;RHOC;MYL12B;MYL12A
R-HSA-416572	Sema4D induced cell migration and growth-cone collapse	http://reactome.org/PathwayBrowser/#/R-HSA-416572	12	4	0.33531510107015455	11.929078014184398	2.4289907982815467e-4	0.020365170219276335	103910;10627;387;389	RHOA;RHOC;MYL12B;MYL12A
R-HSA-388841	Costimulation by the CD28 family	http://reactome.org/PathwayBrowser/#/R-HSA-388841	47	7	1.3133174791914388	5.330013580805795	2.8277515062289613e-4	0.020803706671592308	3113;3115;3117;3118;3119;3122;3127	HLA-DQA1;HLA-DQA2;HLA-DPA1;HLA-DQB1;HLA-DPB1;HLA-DRA;HLA-DRB5
R-HSA-70263	Gluconeogenesis	http://reactome.org/PathwayBrowser/#/R-HSA-70263	22	5	0.6147443519619501	8.133462282398453	2.8471400946932125e-4	0.020803706671592308	2023;226;2597;5230;7167	ENO1;TPI1;PGK1;ALDOA;GAPDH
R-HSA-72613	Eukaryotic Translation Initiation	http://reactome.org/PathwayBrowser/#/R-HSA-72613	114	11	3.1854934601664686	3.453154162000746	3.003673907386209e-4	0.020803706671592308	1973;26986;3921;6124;6125;6138;6159;6193;8665;8667;8668	RPL5;RPL4;EIF3H;EIF3F;RPSA;RPS5;RPL29;RPL15;EIF3I;EIF4A1;PABPC1
R-HSA-72737	Cap-dependent Translation Initiation	http://reactome.org/PathwayBrowser/#/R-HSA-72737	114	11	3.1854934601664686	3.453154162000746	3.003673907386209e-4	0.020803706671592308	1973;26986;3921;6124;6125;6138;6159;6193;8665;8667;8668	RPL5;RPL4;EIF3H;EIF3F;RPSA;RPS5;RPL29;RPL15;EIF3I;EIF4A1;PABPC1
R-HSA-445355	Smooth Muscle Contraction	http://reactome.org/PathwayBrowser/#/R-HSA-445355	23	5	0.6426872770511296	7.779833487511564	3.556940020410707e-4	0.023609189385476067	103910;10627;217;302;805	CALM2;ANXA2;ALDH2;MYL12B;MYL12A
R-HSA-5625740	RHO GTPases activate PKNs	http://reactome.org/PathwayBrowser/#/R-HSA-5625740	24	5	0.6706302021403091	7.455673758865249	4.3929074276714933e-4	0.027648534382348607	103910;10627;387;389;7533	RHOA;RHOC;YWHAH;MYL12B;MYL12A
R-HSA-5663205	Infectious disease	http://reactome.org/PathwayBrowser/#/R-HSA-5663205	658	33	18.38644470868014	1.7948004914958289	4.5126295915948764e-4	0.027648534382348607	10094;10095;10109;10376;11151;1655;2023;2280;2778;292;293;3178;3276;3921;4869;5230;5479;55845;5685;5698;5721;6124;6125;6138;6159;6193;71;7533;7555;7879;805;834;8905	FKBP1A;NPM1;RPL5;HNRNPA1;RPL4;CALM2;ACTG1;ARPC2;SLC25A5;ENO1;TUBA1B;GNAS;CORO1A;RPSA;PGK1;RAB7A;BRK1;YWHAH;RPS5;SLC25A6;PPIB;DDX5;RPL29;RPL15;AP1S2;CNBP;PSMB9;PSMA4;PRMT1;PSME2;ARPC1B;CASP1;ARPC3
R-HSA-877300	Interferon gamma signaling	http://reactome.org/PathwayBrowser/#/R-HSA-877300	67	8	1.8721759809750298	4.273102572245157	4.93644740986582e-4	0.02912503971820834	3113;3115;3117;3118;3119;3122;3127;4904	HLA-DQA1;HLA-DQA2;HLA-DPA1;YBX1;HLA-DQB1;HLA-DPB1;HLA-DRA;HLA-DRB5
R-HSA-72766	Translation	http://reactome.org/PathwayBrowser/#/R-HSA-72766	251	17	7.013674197384066	2.4238365686191403	5.536007274879838e-4	0.03149592710315565	1933;1973;26986;28972;3921;5018;5464;54948;6124;6125;6138;6159;6193;6746;8665;8667;8668	RPL5;RPL4;EIF3H;EIF3F;SSR2;EEF1B2;RPSA;PPA1;SPCS1;RPS5;RPL29;RPL15;EIF3I;MRPL16;EIF4A1;PABPC1;OXA1L
R-HSA-400685	Sema4D in semaphorin signaling	http://reactome.org/PathwayBrowser/#/R-HSA-400685	15	4	0.41914387633769323	9.543262411347518	6.273696072413415e-4	0.03446206152880887	103910;10627;387;389	RHOA;RHOC;MYL12B;MYL12A
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	http://reactome.org/PathwayBrowser/#/R-HSA-72706	107	10	2.9898929845422115	3.344601312388149	7.324595790318531e-4	0.038893603646591404	1973;3921;6124;6125;6138;6159;6193;8665;8667;8668	RPL5;RPL4;EIF3H;EIF3F;RPSA;RPS5;RPL29;RPL15;EIF3I;EIF4A1
R-HSA-1280215	Cytokine Signaling in Immune system	http://reactome.org/PathwayBrowser/#/R-HSA-1280215	485	26	13.55231866825208	1.9184908971265628	7.672322969022458e-4	0.039425840289202506	10376;1072;1439;1973;302;3113;3115;3117;3118;3119;3122;3127;3146;3181;3312;3726;4869;4904;5685;5698;5721;7076;7322;7431;834;9246	HLA-DQA1;HLA-DQA2;HLA-DPA1;YBX1;HLA-DQB1;NPM1;HLA-DPB1;HLA-DRA;TUBA1B;HMGB1;HSPA8;ANXA2;HLA-DRB5;HNRNPA2B1;TIMP1;UBE2L6;CSF2RB;JUNB;PSMB9;EIF4A1;PSMA4;UBE2D2;PSME2;CASP1;CFL1;VIM
R-HSA-72649	Translation initiation complex formation	http://reactome.org/PathwayBrowser/#/R-HSA-72649	56	7	1.5648038049940547	4.473404255319149	8.45596488909281e-4	0.042094850213515146	1973;26986;3921;6193;8665;8667;8668	EIF3H;EIF3F;RPSA;RPS5;EIF3I;EIF4A1;PABPC1
R-HSA-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	http://reactome.org/PathwayBrowser/#/R-HSA-72662	57	7	1.5927467300832343	4.394923478910041	9.41824648029772e-4	0.04546444437307354	1973;26986;3921;6193;8665;8667;8668	EIF3H;EIF3F;RPSA;RPS5;EIF3I;EIF4A1;PABPC1
