userId	geneSymbol	geneName	entrezgene	gLink
EIF4A2	EIF4A2	eukaryotic translation initiation factor 4A2	1974	https://www.ncbi.nlm.nih.gov/gene/?term=1974
HNRNPA2B1	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	3181	https://www.ncbi.nlm.nih.gov/gene/?term=3181
PRNP	PRNP	prion protein (Kanno blood group)	5621	https://www.ncbi.nlm.nih.gov/gene/?term=5621
ANXA6	ANXA6	annexin A6	309	https://www.ncbi.nlm.nih.gov/gene/?term=309
NPM1	NPM1	nucleophosmin 1	4869	https://www.ncbi.nlm.nih.gov/gene/?term=4869
TMED2	TMED2	transmembrane p24 trafficking protein 2	10959	https://www.ncbi.nlm.nih.gov/gene/?term=10959
CRBN	CRBN	cereblon	51185	https://www.ncbi.nlm.nih.gov/gene/?term=51185
PTGER2	PTGER2	prostaglandin E receptor 2	5732	https://www.ncbi.nlm.nih.gov/gene/?term=5732
CCT4	CCT4	chaperonin containing TCP1 subunit 4	10575	https://www.ncbi.nlm.nih.gov/gene/?term=10575
LAT	LAT	linker for activation of T cells	27040	https://www.ncbi.nlm.nih.gov/gene/?term=27040
PIK3IP1	PIK3IP1	phosphoinositide-3-kinase interacting protein 1	113791	https://www.ncbi.nlm.nih.gov/gene/?term=113791
PIGX	PIGX	phosphatidylinositol glycan anchor biosynthesis class X	54965	https://www.ncbi.nlm.nih.gov/gene/?term=54965
LDHA	LDHA	lactate dehydrogenase A	3939	https://www.ncbi.nlm.nih.gov/gene/?term=3939
HNRNPA0	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	10949	https://www.ncbi.nlm.nih.gov/gene/?term=10949
MAT2B	MAT2B	methionine adenosyltransferase 2 non-catalytic beta subunit	27430	https://www.ncbi.nlm.nih.gov/gene/?term=27430
UGP2	UGP2	UDP-glucose pyrophosphorylase 2	7360	https://www.ncbi.nlm.nih.gov/gene/?term=7360
BTG1	BTG1	BTG anti-proliferation factor 1	694	https://www.ncbi.nlm.nih.gov/gene/?term=694
PPCS	PPCS	phosphopantothenoylcysteine synthetase	79717	https://www.ncbi.nlm.nih.gov/gene/?term=79717
FASTK	FASTK	Fas activated serine/threonine kinase	10922	https://www.ncbi.nlm.nih.gov/gene/?term=10922
CALM1	CALM1	calmodulin 1	801	https://www.ncbi.nlm.nih.gov/gene/?term=801
RPL7L1	RPL7L1	ribosomal protein L7 like 1	285855	https://www.ncbi.nlm.nih.gov/gene/?term=285855
PRKCQ-AS1	PRKCQ-AS1	PRKCQ antisense RNA 1	439949	https://www.ncbi.nlm.nih.gov/gene/?term=439949
NPDC1	NPDC1	neural proliferation, differentiation and control 1	56654	https://www.ncbi.nlm.nih.gov/gene/?term=56654
LSR	LSR	lipolysis stimulated lipoprotein receptor	51599	https://www.ncbi.nlm.nih.gov/gene/?term=51599
TXNIP	TXNIP	thioredoxin interacting protein	10628	https://www.ncbi.nlm.nih.gov/gene/?term=10628
HMOX2	HMOX2	heme oxygenase 2	3163	https://www.ncbi.nlm.nih.gov/gene/?term=3163
ICAM3	ICAM3	intercellular adhesion molecule 3	3385	https://www.ncbi.nlm.nih.gov/gene/?term=3385
CAP1	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	10487	https://www.ncbi.nlm.nih.gov/gene/?term=10487
CRIP2	CRIP2	cysteine rich protein 2	1397	https://www.ncbi.nlm.nih.gov/gene/?term=1397
CD52	CD52	CD52 molecule	1043	https://www.ncbi.nlm.nih.gov/gene/?term=1043
DDX5	DDX5	DEAD-box helicase 5	1655	https://www.ncbi.nlm.nih.gov/gene/?term=1655
SCAMP3	SCAMP3	secretory carrier membrane protein 3	10067	https://www.ncbi.nlm.nih.gov/gene/?term=10067
CXCR4	CXCR4	C-X-C motif chemokine receptor 4	7852	https://www.ncbi.nlm.nih.gov/gene/?term=7852
YWHAQ	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	10971	https://www.ncbi.nlm.nih.gov/gene/?term=10971
TRAF3IP3	TRAF3IP3	TRAF3 interacting protein 3	80342	https://www.ncbi.nlm.nih.gov/gene/?term=80342
PPP1R12A	PPP1R12A	protein phosphatase 1 regulatory subunit 12A	4659	https://www.ncbi.nlm.nih.gov/gene/?term=4659
CD320	CD320	CD320 molecule	51293	https://www.ncbi.nlm.nih.gov/gene/?term=51293
UBE2D3	UBE2D3	ubiquitin conjugating enzyme E2 D3	7323	https://www.ncbi.nlm.nih.gov/gene/?term=7323
CITED2	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	10370	https://www.ncbi.nlm.nih.gov/gene/?term=10370
FLI1	FLI1	Fli-1 proto-oncogene, ETS transcription factor	2313	https://www.ncbi.nlm.nih.gov/gene/?term=2313
ATP6V1G1	ATP6V1G1	ATPase H+ transporting V1 subunit G1	9550	https://www.ncbi.nlm.nih.gov/gene/?term=9550
ATIC	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	471	https://www.ncbi.nlm.nih.gov/gene/?term=471
CIRBP	CIRBP	cold inducible RNA binding protein	1153	https://www.ncbi.nlm.nih.gov/gene/?term=1153
WDR54	WDR54	WD repeat domain 54	84058	https://www.ncbi.nlm.nih.gov/gene/?term=84058
TRAM1	TRAM1	translocation associated membrane protein 1	23471	https://www.ncbi.nlm.nih.gov/gene/?term=23471
RAB18	RAB18	RAB18, member RAS oncogene family	22931	https://www.ncbi.nlm.nih.gov/gene/?term=22931
CCNI	CCNI	cyclin I	10983	https://www.ncbi.nlm.nih.gov/gene/?term=10983
SLC25A33	SLC25A33	solute carrier family 25 member 33	84275	https://www.ncbi.nlm.nih.gov/gene/?term=84275
TMEM123	TMEM123	transmembrane protein 123	114908	https://www.ncbi.nlm.nih.gov/gene/?term=114908
MYL12A	MYL12A	myosin light chain 12A	10627	https://www.ncbi.nlm.nih.gov/gene/?term=10627
GTF3A	GTF3A	general transcription factor IIIA	2971	https://www.ncbi.nlm.nih.gov/gene/?term=2971
TMEM230	TMEM230	transmembrane protein 230	29058	https://www.ncbi.nlm.nih.gov/gene/?term=29058
CMTM6	CMTM6	CKLF like MARVEL transmembrane domain containing 6	54918	https://www.ncbi.nlm.nih.gov/gene/?term=54918
TP53I13	TP53I13	tumor protein p53 inducible protein 13	90313	https://www.ncbi.nlm.nih.gov/gene/?term=90313
TUBB	TUBB	tubulin beta class I	203068	https://www.ncbi.nlm.nih.gov/gene/?term=203068
COX7A2L	COX7A2L	cytochrome c oxidase subunit 7A2 like	9167	https://www.ncbi.nlm.nih.gov/gene/?term=9167
VBP1	VBP1	VHL binding protein 1	7411	https://www.ncbi.nlm.nih.gov/gene/?term=7411
UBA7	UBA7	ubiquitin like modifier activating enzyme 7	7318	https://www.ncbi.nlm.nih.gov/gene/?term=7318
LRP10	LRP10	LDL receptor related protein 10	26020	https://www.ncbi.nlm.nih.gov/gene/?term=26020
NKG7	NKG7	natural killer cell granule protein 7	4818	https://www.ncbi.nlm.nih.gov/gene/?term=4818
PIM1	PIM1	Pim-1 proto-oncogene, serine/threonine kinase	5292	https://www.ncbi.nlm.nih.gov/gene/?term=5292
FXYD5	FXYD5	FXYD domain containing ion transport regulator 5	53827	https://www.ncbi.nlm.nih.gov/gene/?term=53827
AGPAT1	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	10554	https://www.ncbi.nlm.nih.gov/gene/?term=10554
BCAP31	BCAP31	B cell receptor associated protein 31	10134	https://www.ncbi.nlm.nih.gov/gene/?term=10134
CASP4	CASP4	caspase 4	837	https://www.ncbi.nlm.nih.gov/gene/?term=837
MYL12B	MYL12B	myosin light chain 12B	103910	https://www.ncbi.nlm.nih.gov/gene/?term=103910
C9orf78	C9orf78	chromosome 9 open reading frame 78	51759	https://www.ncbi.nlm.nih.gov/gene/?term=51759
ITM2B	ITM2B	integral membrane protein 2B	9445	https://www.ncbi.nlm.nih.gov/gene/?term=9445
BIN2	BIN2	bridging integrator 2	51411	https://www.ncbi.nlm.nih.gov/gene/?term=51411
ZCRB1	ZCRB1	zinc finger CCHC-type and RNA binding motif containing 1	85437	https://www.ncbi.nlm.nih.gov/gene/?term=85437
BUB3	BUB3	BUB3 mitotic checkpoint protein	9184	https://www.ncbi.nlm.nih.gov/gene/?term=9184
HSPBP1	HSPBP1	HSPA (Hsp70) binding protein 1	23640	https://www.ncbi.nlm.nih.gov/gene/?term=23640
KLRG1	KLRG1	killer cell lectin like receptor G1	10219	https://www.ncbi.nlm.nih.gov/gene/?term=10219
EEF1G	EEF1G	eukaryotic translation elongation factor 1 gamma	1937	https://www.ncbi.nlm.nih.gov/gene/?term=1937
YBX1	YBX1	Y-box binding protein 1	4904	https://www.ncbi.nlm.nih.gov/gene/?term=4904
PPDPF	PPDPF	pancreatic progenitor cell differentiation and proliferation factor	79144	https://www.ncbi.nlm.nih.gov/gene/?term=79144
DRG1	DRG1	developmentally regulated GTP binding protein 1	4733	https://www.ncbi.nlm.nih.gov/gene/?term=4733
TMX4	TMX4	thioredoxin related transmembrane protein 4	56255	https://www.ncbi.nlm.nih.gov/gene/?term=56255
MATK	MATK	megakaryocyte-associated tyrosine kinase	4145	https://www.ncbi.nlm.nih.gov/gene/?term=4145
TSPAN2	TSPAN2	tetraspanin 2	10100	https://www.ncbi.nlm.nih.gov/gene/?term=10100
RSBN1	RSBN1	round spermatid basic protein 1	54665	https://www.ncbi.nlm.nih.gov/gene/?term=54665
HSPA8	HSPA8	heat shock protein family A (Hsp70) member 8	3312	https://www.ncbi.nlm.nih.gov/gene/?term=3312
ODF2L	ODF2L	outer dense fiber of sperm tails 2 like	57489	https://www.ncbi.nlm.nih.gov/gene/?term=57489
ACTR3	ACTR3	actin related protein 3	10096	https://www.ncbi.nlm.nih.gov/gene/?term=10096
SLC38A1	SLC38A1	solute carrier family 38 member 1	81539	https://www.ncbi.nlm.nih.gov/gene/?term=81539
PTGES3	PTGES3	prostaglandin E synthase 3	10728	https://www.ncbi.nlm.nih.gov/gene/?term=10728
HSD17B11	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11	51170	https://www.ncbi.nlm.nih.gov/gene/?term=51170
LPAR6	LPAR6	lysophosphatidic acid receptor 6	10161	https://www.ncbi.nlm.nih.gov/gene/?term=10161
DSTN	DSTN	destrin, actin depolymerizing factor	11034	https://www.ncbi.nlm.nih.gov/gene/?term=11034
BEX2	BEX2	brain expressed X-linked 2	84707	https://www.ncbi.nlm.nih.gov/gene/?term=84707
RAC2	RAC2	Rac family small GTPase 2	5880	https://www.ncbi.nlm.nih.gov/gene/?term=5880
RASA3	RASA3	RAS p21 protein activator 3	22821	https://www.ncbi.nlm.nih.gov/gene/?term=22821
ARIH2OS	ARIH2OS	ARIH2 opposite strand lncRNA	646450	https://www.ncbi.nlm.nih.gov/gene/?term=646450
SRSF5	SRSF5	serine and arginine rich splicing factor 5	6430	https://www.ncbi.nlm.nih.gov/gene/?term=6430
XBP1	XBP1	X-box binding protein 1	7494	https://www.ncbi.nlm.nih.gov/gene/?term=7494
PMPCB	PMPCB	peptidase, mitochondrial processing subunit beta	9512	https://www.ncbi.nlm.nih.gov/gene/?term=9512
EMC4	EMC4	ER membrane protein complex subunit 4	51234	https://www.ncbi.nlm.nih.gov/gene/?term=51234
THEM6	THEM6	thioesterase superfamily member 6	51337	https://www.ncbi.nlm.nih.gov/gene/?term=51337
CYCS	CYCS	cytochrome c, somatic	54205	https://www.ncbi.nlm.nih.gov/gene/?term=54205
HACL1	HACL1	2-hydroxyacyl-CoA lyase 1	26061	https://www.ncbi.nlm.nih.gov/gene/?term=26061
KMT2E	KMT2E	lysine methyltransferase 2E (inactive)	55904	https://www.ncbi.nlm.nih.gov/gene/?term=55904
ING4	ING4	inhibitor of growth family member 4	51147	https://www.ncbi.nlm.nih.gov/gene/?term=51147
SIGIRR	SIGIRR	single Ig and TIR domain containing	59307	https://www.ncbi.nlm.nih.gov/gene/?term=59307
PNRC1	PNRC1	proline rich nuclear receptor coactivator 1	10957	https://www.ncbi.nlm.nih.gov/gene/?term=10957
RBM23	RBM23	RNA binding motif protein 23	55147	https://www.ncbi.nlm.nih.gov/gene/?term=55147
PHF5A	PHF5A	PHD finger protein 5A	84844	https://www.ncbi.nlm.nih.gov/gene/?term=84844
ZFP36L2	ZFP36L2	ZFP36 ring finger protein like 2	678	https://www.ncbi.nlm.nih.gov/gene/?term=678
FBXO7	FBXO7	F-box protein 7	25793	https://www.ncbi.nlm.nih.gov/gene/?term=25793
HMGN1	HMGN1	high mobility group nucleosome binding domain 1	3150	https://www.ncbi.nlm.nih.gov/gene/?term=3150
POLR2K	POLR2K	RNA polymerase II, I and III subunit K	5440	https://www.ncbi.nlm.nih.gov/gene/?term=5440
ANXA1	ANXA1	annexin A1	301	https://www.ncbi.nlm.nih.gov/gene/?term=301
DNAJB9	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	4189	https://www.ncbi.nlm.nih.gov/gene/?term=4189
SUCLG2	SUCLG2	succinate-CoA ligase GDP-forming subunit beta	8801	https://www.ncbi.nlm.nih.gov/gene/?term=8801
ELL	ELL	elongation factor for RNA polymerase II	8178	https://www.ncbi.nlm.nih.gov/gene/?term=8178
GIMAP1	GIMAP1	GTPase, IMAP family member 1	170575	https://www.ncbi.nlm.nih.gov/gene/?term=170575
HNRNPM	HNRNPM	heterogeneous nuclear ribonucleoprotein M	4670	https://www.ncbi.nlm.nih.gov/gene/?term=4670
TMEM216	TMEM216	transmembrane protein 216	51259	https://www.ncbi.nlm.nih.gov/gene/?term=51259
PDAP1	PDAP1	PDGFA associated protein 1	11333	https://www.ncbi.nlm.nih.gov/gene/?term=11333
CCDC91	CCDC91	coiled-coil domain containing 91	55297	https://www.ncbi.nlm.nih.gov/gene/?term=55297
S1PR4	S1PR4	sphingosine-1-phosphate receptor 4	8698	https://www.ncbi.nlm.nih.gov/gene/?term=8698
ITGB7	ITGB7	integrin subunit beta 7	3695	https://www.ncbi.nlm.nih.gov/gene/?term=3695
BTF3	BTF3	basic transcription factor 3	689	https://www.ncbi.nlm.nih.gov/gene/?term=689
ANP32E	ANP32E	acidic nuclear phosphoprotein 32 family member E	81611	https://www.ncbi.nlm.nih.gov/gene/?term=81611
PEBP1	PEBP1	phosphatidylethanolamine binding protein 1	5037	https://www.ncbi.nlm.nih.gov/gene/?term=5037
PCBP2	PCBP2	poly(rC) binding protein 2	5094	https://www.ncbi.nlm.nih.gov/gene/?term=5094
COX11	COX11	cytochrome c oxidase copper chaperone COX11	1353	https://www.ncbi.nlm.nih.gov/gene/?term=1353
JUN	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	3725	https://www.ncbi.nlm.nih.gov/gene/?term=3725
ARHGDIB	ARHGDIB	Rho GDP dissociation inhibitor beta	397	https://www.ncbi.nlm.nih.gov/gene/?term=397
GNLY	GNLY	granulysin	10578	https://www.ncbi.nlm.nih.gov/gene/?term=10578
CNBP	CNBP	CCHC-type zinc finger nucleic acid binding protein	7555	https://www.ncbi.nlm.nih.gov/gene/?term=7555
TSNAX	TSNAX	translin associated factor X	7257	https://www.ncbi.nlm.nih.gov/gene/?term=7257
CCND3	CCND3	cyclin D3	896	https://www.ncbi.nlm.nih.gov/gene/?term=896
TMEM203	TMEM203	transmembrane protein 203	94107	https://www.ncbi.nlm.nih.gov/gene/?term=94107
REXO2	REXO2	RNA exonuclease 2	25996	https://www.ncbi.nlm.nih.gov/gene/?term=25996
EEF1B2	EEF1B2	eukaryotic translation elongation factor 1 beta 2	1933	https://www.ncbi.nlm.nih.gov/gene/?term=1933
ST13	ST13	ST13 Hsp70 interacting protein	6767	https://www.ncbi.nlm.nih.gov/gene/?term=6767
EEF2	EEF2	eukaryotic translation elongation factor 2	1938	https://www.ncbi.nlm.nih.gov/gene/?term=1938
HNRNPA1	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	3178	https://www.ncbi.nlm.nih.gov/gene/?term=3178
TIPRL	TIPRL	TOR signaling pathway regulator	261726	https://www.ncbi.nlm.nih.gov/gene/?term=261726
PAPOLA	PAPOLA	poly(A) polymerase alpha	10914	https://www.ncbi.nlm.nih.gov/gene/?term=10914
EIF3G	EIF3G	eukaryotic translation initiation factor 3 subunit G	8666	https://www.ncbi.nlm.nih.gov/gene/?term=8666
TPST2	TPST2	tyrosylprotein sulfotransferase 2	8459	https://www.ncbi.nlm.nih.gov/gene/?term=8459
ARF1	ARF1	ADP ribosylation factor 1	375	https://www.ncbi.nlm.nih.gov/gene/?term=375
EIF3M	EIF3M	eukaryotic translation initiation factor 3 subunit M	10480	https://www.ncbi.nlm.nih.gov/gene/?term=10480
TSC2	TSC2	TSC complex subunit 2	7249	https://www.ncbi.nlm.nih.gov/gene/?term=7249
SAP30BP	SAP30BP	SAP30 binding protein	29115	https://www.ncbi.nlm.nih.gov/gene/?term=29115
GADD45G	GADD45G	growth arrest and DNA damage inducible gamma	10912	https://www.ncbi.nlm.nih.gov/gene/?term=10912
IFITM2	IFITM2	interferon induced transmembrane protein 2	10581	https://www.ncbi.nlm.nih.gov/gene/?term=10581
MRPS30	MRPS30	mitochondrial ribosomal protein S30	10884	https://www.ncbi.nlm.nih.gov/gene/?term=10884
CDC42SE2	CDC42SE2	CDC42 small effector 2	56990	https://www.ncbi.nlm.nih.gov/gene/?term=56990
PDCD4	PDCD4	programmed cell death 4	27250	https://www.ncbi.nlm.nih.gov/gene/?term=27250
NUB1	NUB1	negative regulator of ubiquitin like proteins 1	51667	https://www.ncbi.nlm.nih.gov/gene/?term=51667
ACTR1B	ACTR1B	actin related protein 1B	10120	https://www.ncbi.nlm.nih.gov/gene/?term=10120
UBBP4	UBBP4	ubiquitin B pseudogene 4	23666	https://www.ncbi.nlm.nih.gov/gene/?term=23666
MITD1	MITD1	microtubule interacting and trafficking domain containing 1	129531	https://www.ncbi.nlm.nih.gov/gene/?term=129531
EBP	EBP	EBP cholestenol delta-isomerase	10682	https://www.ncbi.nlm.nih.gov/gene/?term=10682
RAD23A	RAD23A	RAD23 homolog A, nucleotide excision repair protein	5886	https://www.ncbi.nlm.nih.gov/gene/?term=5886
HSPD1	HSPD1	heat shock protein family D (Hsp60) member 1	3329	https://www.ncbi.nlm.nih.gov/gene/?term=3329
RALA	RALA	RAS like proto-oncogene A	5898	https://www.ncbi.nlm.nih.gov/gene/?term=5898
PHF11	PHF11	PHD finger protein 11	51131	https://www.ncbi.nlm.nih.gov/gene/?term=51131
CUTC	CUTC	cutC copper transporter	51076	https://www.ncbi.nlm.nih.gov/gene/?term=51076
KLF2	KLF2	KLF transcription factor 2	10365	https://www.ncbi.nlm.nih.gov/gene/?term=10365
LY6E	LY6E	lymphocyte antigen 6 family member E	4061	https://www.ncbi.nlm.nih.gov/gene/?term=4061
FOXP1	FOXP1	forkhead box P1	27086	https://www.ncbi.nlm.nih.gov/gene/?term=27086
TSC22D4	TSC22D4	TSC22 domain family member 4	81628	https://www.ncbi.nlm.nih.gov/gene/?term=81628
PPP2R5C	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	5527	https://www.ncbi.nlm.nih.gov/gene/?term=5527
HNRNPH3	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3	3189	https://www.ncbi.nlm.nih.gov/gene/?term=3189
NMI	NMI	N-myc and STAT interactor	9111	https://www.ncbi.nlm.nih.gov/gene/?term=9111
ODC1	ODC1	ornithine decarboxylase 1	4953	https://www.ncbi.nlm.nih.gov/gene/?term=4953
IK	IK	IK cytokine	3550	https://www.ncbi.nlm.nih.gov/gene/?term=3550
RPL4	RPL4	ribosomal protein L4	6124	https://www.ncbi.nlm.nih.gov/gene/?term=6124
POLR3GL	POLR3GL	RNA polymerase III subunit GL	84265	https://www.ncbi.nlm.nih.gov/gene/?term=84265
EIF3E	EIF3E	eukaryotic translation initiation factor 3 subunit E	3646	https://www.ncbi.nlm.nih.gov/gene/?term=3646
RNF138	RNF138	ring finger protein 138	51444	https://www.ncbi.nlm.nih.gov/gene/?term=51444
CMPK1	CMPK1	cytidine/uridine monophosphate kinase 1	51727	https://www.ncbi.nlm.nih.gov/gene/?term=51727
SRP14	SRP14	signal recognition particle 14	6727	https://www.ncbi.nlm.nih.gov/gene/?term=6727
RBM3	RBM3	RNA binding motif protein 3	5935	https://www.ncbi.nlm.nih.gov/gene/?term=5935
STK38	STK38	serine/threonine kinase 38	11329	https://www.ncbi.nlm.nih.gov/gene/?term=11329
CDK10	CDK10	cyclin dependent kinase 10	8558	https://www.ncbi.nlm.nih.gov/gene/?term=8558
TSN	TSN	translin	7247	https://www.ncbi.nlm.nih.gov/gene/?term=7247
PGK1	PGK1	phosphoglycerate kinase 1	5230	https://www.ncbi.nlm.nih.gov/gene/?term=5230
DDOST	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	1650	https://www.ncbi.nlm.nih.gov/gene/?term=1650
EIF5AL1	EIF5AL1	eukaryotic translation initiation factor 5A like 1	143244	https://www.ncbi.nlm.nih.gov/gene/?term=143244
CD53	CD53	CD53 molecule	963	https://www.ncbi.nlm.nih.gov/gene/?term=963
HNRNPDL	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	9987	https://www.ncbi.nlm.nih.gov/gene/?term=9987
TPRKB	TPRKB	TP53RK binding protein	51002	https://www.ncbi.nlm.nih.gov/gene/?term=51002
SDHAF1	SDHAF1	succinate dehydrogenase complex assembly factor 1	644096	https://www.ncbi.nlm.nih.gov/gene/?term=644096
ACP1	ACP1	acid phosphatase 1	52	https://www.ncbi.nlm.nih.gov/gene/?term=52
RHOF	RHOF	ras homolog family member F, filopodia associated	54509	https://www.ncbi.nlm.nih.gov/gene/?term=54509
SMS	SMS	spermine synthase	6611	https://www.ncbi.nlm.nih.gov/gene/?term=6611
VAPA	VAPA	VAMP associated protein A	9218	https://www.ncbi.nlm.nih.gov/gene/?term=9218
SLC39A1	SLC39A1	solute carrier family 39 member 1	27173	https://www.ncbi.nlm.nih.gov/gene/?term=27173
SKP1	SKP1	S-phase kinase associated protein 1	6500	https://www.ncbi.nlm.nih.gov/gene/?term=6500
CD55	CD55	CD55 molecule (Cromer blood group)	1604	https://www.ncbi.nlm.nih.gov/gene/?term=1604
XIST	XIST	X inactive specific transcript	7503	https://www.ncbi.nlm.nih.gov/gene/?term=7503
SLC35B2	SLC35B2	solute carrier family 35 member B2	347734	https://www.ncbi.nlm.nih.gov/gene/?term=347734
RANGRF	RANGRF	RAN guanine nucleotide release factor	29098	https://www.ncbi.nlm.nih.gov/gene/?term=29098
RAP1B	RAP1B	RAP1B, member of RAS oncogene family	5908	https://www.ncbi.nlm.nih.gov/gene/?term=5908
WTAP	WTAP	WT1 associated protein	9589	https://www.ncbi.nlm.nih.gov/gene/?term=9589
